Janeiro

03/01/2022 - R$ 5,662  1.568%

04/01/2022 - R$ 5,690  0.482%

05/01/2022 - R$ 5,716  0.468%

06/01/2022 - R$ 5,679  -0.649%

07/01/2022 - R$ 5,633  -0.819%

10/01/2022 - R$ 5,674  0.74%

11/01/2022 - R$ 5,579  -1.674%

12/01/2022 - R$ 5,536  -0.78%

13/01/2022 - R$ 5,528  -0.141%

14/01/2022 - R$ 5,513  -0.271%

17/01/2022 - R$ 5,526  0.239%

18/01/2022 - R$ 5,560  0.61%

19/01/2022 - R$ 5,465  -1.698%

20/01/2022 - R$ 5,415  -0.922%

21/01/2022 - R$ 5,454  0.724%

24/01/2022 - R$ 5,502  0.871%

25/01/2022 - R$ 5,435  -1.22%

26/01/2022 - R$ 5,442  0.138%

27/01/2022 - R$ 5,423  -0.355%

28/01/2022 - R$ 5,390  -0.605%

31/01/2022 - R$ 5,305  -1.57%

Fevereiro

01/02/2022 - R$ 5,271  -0.65%

02/02/2022 - R$ 5,275  0.085%

03/02/2022 - R$ 5,296  0.387%

04/02/2022 - R$ 5,321  0.468%

07/02/2022 - R$ 5,253  -1.269%

08/02/2022 - R$ 5,260  0.133%

09/02/2022 - R$ 5,226  -0.65%

10/02/2022 - R$ 5,241  0.293%

11/02/2022 - R$ 5,241  0.004%

14/02/2022 - R$ 5,219  -0.435%

15/02/2022 - R$ 5,180  -0.736%

16/02/2022 - R$ 5,128  -1.01%

17/02/2022 - R$ 5,167  0.762%

18/02/2022 - R$ 5,140  -0.523%

21/02/2022 - R$ 5,107  -0.642%

22/02/2022 - R$ 5,051  -1.095%

23/02/2022 - R$ 5,004  -0.938%

24/02/2022 - R$ 5,105  2.019%

25/02/2022 - R$ 5,156  1.009%

28/02/2022 - R$ 5,156  0%

Março

01/03/2022 - R$ 5,156  0%

02/03/2022 - R$ 5,105  -0.987%

03/03/2022 - R$ 5,026  -1.553%

04/03/2022 - R$ 5,078  1.031%

07/03/2022 - R$ 5,079  0.018%

08/03/2022 - R$ 5,054  -0.492%

09/03/2022 - R$ 5,011  -0.847%

10/03/2022 - R$ 5,016  0.102%

11/03/2022 - R$ 5,054  0.758%

14/03/2022 - R$ 5,120  1.296%

15/03/2022 - R$ 5,159  0.766%

16/03/2022 - R$ 5,093  -1.283%

17/03/2022 - R$ 5,034  -1.153%

18/03/2022 - R$ 5,016  -0.36%

21/03/2022 - R$ 4,944  -1.43%

22/03/2022 - R$ 4,914  -0.603%

23/03/2022 - R$ 4,844  -1.433%

24/03/2022 - R$ 4,832  -0.246%

25/03/2022 - R$ 4,747  -1.765%

28/03/2022 - R$ 4,772  0.527%

29/03/2022 - R$ 4,758  -0.291%

30/03/2022 - R$ 4,787  0.607%

31/03/2022 - R$ 4,759  -0.572%

Abril

01/04/2022 - R$ 4,667  -1.942%

04/04/2022 - R$ 4,608  -1.269%

05/04/2022 - R$ 4,660  1.133%

06/04/2022 - R$ 4,716  1.204%

07/04/2022 - R$ 4,741  0.53%

08/04/2022 - R$ 4,709  -0.664%

11/04/2022 - R$ 4,690  -0.414%

12/04/2022 - R$ 4,677  -0.284%

13/04/2022 - R$ 4,689  0.261%

14/04/2022 - R$ 4,697  0.171%

15/04/2022 - R$ 4,697  0%

18/04/2022 - R$ 4,648  -1.045%

19/04/2022 - R$ 4,668  0.43%

20/04/2022 - R$ 4,619  -1.035%

21/04/2022 - R$ 4,619  0%

22/04/2022 - R$ 4,806  4.042%

25/04/2022 - R$ 4,876  1.444%

26/04/2022 - R$ 4,990  2.351%

27/04/2022 - R$ 4,968  -0.453%

28/04/2022 - R$ 4,941  -0.525%

29/04/2022 - R$ 4,943  0.022%

Maio

02/05/2022 - R$ 5,071  2.596%

03/05/2022 - R$ 4,963  -2.136%

04/05/2022 - R$ 4,900  -1.259%

05/05/2022 - R$ 5,017  2.38%

06/05/2022 - R$ 5,075  1.172%

09/05/2022 - R$ 5,154  1.557%

10/05/2022 - R$ 5,134  -0.396%

11/05/2022 - R$ 5,144  0.197%

12/05/2022 - R$ 5,140  -0.089%

13/05/2022 - R$ 5,057  -1.605%

16/05/2022 - R$ 5,050  -0.136%

17/05/2022 - R$ 4,942  -2.143%

18/05/2022 - R$ 4,981  0.783%

19/05/2022 - R$ 4,917  -1.283%

20/05/2022 - R$ 4,873  -0.891%

23/05/2022 - R$ 4,804  -1.406%

24/05/2022 - R$ 4,812  0.164%

25/05/2022 - R$ 4,820  0.158%

26/05/2022 - R$ 4,761  -1.224%

27/05/2022 - R$ 4,738  -0.479%

30/05/2022 - R$ 4,754  0.325%

31/05/2022 - R$ 4,752  -0.04%

Junho

01/06/2022 - R$ 4,804  1.096%

02/06/2022 - R$ 4,789  -0.316%

03/06/2022 - R$ 4,779  -0.205%

06/06/2022 - R$ 4,796  0.354%

07/06/2022 - R$ 4,874  1.639%

08/06/2022 - R$ 4,890  0.314%

09/06/2022 - R$ 4,916  0.546%

10/06/2022 - R$ 4,987  1.442%

13/06/2022 - R$ 5,115  2.557%

14/06/2022 - R$ 5,133  0.366%

15/06/2022 - R$ 5,027  -2.081%

